epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1404,2.38496,3.77211,2.35174,0.19659,0.22231,0.14045,0.05082,2.48546,4.02353,2.58793,0.000498994,0.000498994,0.0672327
2,120.788,2.34309,3.46921,2.32311,0.22472,0.30835,0.20303,0.07786,2.17993,4.73674,2.29058,0.000994049,0.000994049,0.0343945
3,161.84,2.28211,3.38788,2.30522,0.26427,0.26858,0.22286,0.08278,2.17679,3.22447,2.31759,0.00148415,0.00148415,0.00155122
4,204.732,2.24664,3.26253,2.234,0.29265,0.29454,0.22904,0.09304,2.14759,3.39844,2.25098,0.00147773,0.00147773,0.00147773
5,246.298,2.21283,3.18697,2.19721,0.32304,0.32197,0.2501,0.09156,2.16886,3.93575,2.3336,0.0014703,0.0014703,0.0014703
