epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2568.76,1.77885,1.64293,1.58701,0.47715,0.44475,0.40733,0.17794,2.13665,2.19388,1.9537,0.00111327,0.00111327,0.00111327
43,2630.72,1.76823,1.61415,1.58457,0.43041,0.47478,0.40397,0.16689,2.17196,2.21255,1.98906,0.00110327,0.00110327,0.00110327
44,2689.79,1.76495,1.58051,1.5729,0.44972,0.41774,0.3908,0.15781,2.16976,2.25383,2.02217,0.00109328,0.00109328,0.00109328
45,2751.08,1.75817,1.59178,1.56731,0.48908,0.43178,0.41541,0.17153,2.1201,2.14625,1.92027,0.00108328,0.00108328,0.00108328
46,2811.51,1.73176,1.55299,1.54594,0.49699,0.44815,0.45125,0.19099,2.1862,2.19481,1.95412,0.00107329,0.00107329,0.00107329
47,2870.81,1.74028,1.5441,1.54756,0.43354,0.49325,0.42486,0.17274,2.16129,2.21691,1.95523,0.00106329,0.00106329,0.00106329
48,2931.56,1.7387,1.50341,1.54124,0.45026,0.4523,0.40832,0.17955,2.19057,2.19826,2.03306,0.00105329,0.00105329,0.00105329
49,2990.89,1.7461,1.50555,1.54581,0.46645,0.41007,0.41063,0.16781,2.13493,2.18503,1.98807,0.0010433,0.0010433,0.0010433
50,3051.55,1.7147,1.51207,1.54161,0.39468,0.48984,0.39646,0.17063,2.21384,2.18604,1.99589,0.0010333,0.0010333,0.0010333
51,3110.29,1.69639,1.47289,1.51656,0.4412,0.45719,0.41085,0.17143,2.18129,2.17926,1.97642,0.00102331,0.00102331,0.00102331
52,3170.68,1.71345,1.48806,1.54254,0.44375,0.46739,0.4202,0.16736,2.19058,2.18679,2.04088,0.00101331,0.00101331,0.00101331
53,3230.9,1.69762,1.44052,1.5276,0.45569,0.48884,0.43985,0.19079,2.18205,2.13366,1.96455,0.00100332,0.00100332,0.00100332
54,3290.98,1.68504,1.4195,1.50645,0.45045,0.42763,0.40462,0.17014,2.18602,2.19295,1.99846,0.000993321,0.000993321,0.000993321
55,3352.93,1.67961,1.43277,1.50966,0.42226,0.43705,0.40613,0.16466,2.2085,2.14262,2.01279,0.000983325,0.000983325,0.000983325
56,3413.21,1.66792,1.39882,1.50853,0.49741,0.44774,0.43948,0.18609,2.20314,2.17786,2.00325,0.00097333,0.00097333,0.00097333
57,3473.31,1.63772,1.39356,1.49434,0.45958,0.45601,0.41673,0.17164,2.17201,2.18202,2.00791,0.000963334,0.000963334,0.000963334
58,3532.68,1.66059,1.38636,1.50074,0.45785,0.45844,0.41255,0.17208,2.19847,2.14396,2.05793,0.000953339,0.000953339,0.000953339
59,3590.44,1.64473,1.38833,1.49632,0.42487,0.47549,0.40372,0.16853,2.1965,2.1804,2.02906,0.000943343,0.000943343,0.000943343
60,3650.56,1.62734,1.36105,1.47719,0.45396,0.45856,0.40302,0.17244,2.20172,2.16962,2.06031,0.000933347,0.000933347,0.000933347
61,3708.89,1.66442,1.3801,1.49372,0.45968,0.45387,0.41207,0.17251,2.22121,2.13502,2.02823,0.000923352,0.000923352,0.000923352
62,3768.02,1.63488,1.34984,1.48868,0.46484,0.4325,0.39352,0.16119,2.27149,2.22142,2.07727,0.000913356,0.000913356,0.000913356
63,3826.48,1.61811,1.33572,1.47797,0.48499,0.45107,0.40705,0.16694,2.25697,2.18428,2.09247,0.000903361,0.000903361,0.000903361
64,3888.65,1.64059,1.3621,1.48019,0.40202,0.49499,0.40068,0.16968,2.21798,2.17793,2.02718,0.000893365,0.000893365,0.000893365
65,3948.67,1.60623,1.32279,1.46577,0.46239,0.42174,0.39149,0.15908,2.19381,2.15805,2.03999,0.00088337,0.00088337,0.00088337
66,4009.26,1.61041,1.32748,1.47448,0.47917,0.4113,0.37343,0.15405,2.28093,2.26631,2.08658,0.000873374,0.000873374,0.000873374
