epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5914,2.34508,3.78404,2.22592,0.55397,0.13101,0.1145,0.04004,2.44276,6.46851,2.35664,0.000497992,0.000497992,0.0672985
2,106.355,2.32397,3.37013,2.24742,0.12419,0.30653,0.10782,0.03744,2.29844,6.48245,2.35129,0.000993052,0.000993052,0.0344603
3,146.232,2.27247,3.26011,2.23188,0.20352,0.27548,0.16457,0.0617,2.34187,4.15503,2.36906,0.00148316,0.00148316,0.00161703
4,185.947,2.22408,3.19621,2.1816,0.24948,0.30728,0.20921,0.07563,2.21356,4.23584,2.25839,0.00147773,0.00147773,0.00147773
5,226.114,2.172,3.10438,2.13171,0.30837,0.27905,0.22852,0.08587,2.2799,3.26844,2.27252,0.0014703,0.0014703,0.0014703
