epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3696,2.5364,3.4672,1.87311,0.30929,0.26992,0.194,0.07493,2.4008,2.78621,1.89085,0.00233132,0.00233132,0.0691363
2,148.367,2.49939,2.764,1.88426,0.22673,0.24021,0.15892,0.04809,2.61919,3.33348,2.02555,0.00376179,0.00376179,0.0372334
3,237.979,2.43421,2.6244,1.84294,0.2701,0.2469,0.19175,0.05924,2.55191,2.65373,2.02093,0.00427982,0.00427982,0.00441813
4,309.679,2.33474,2.40954,1.76818,0.38254,0.32603,0.30289,0.12569,2.18079,2.32331,1.76087,0.00291708,0.00291708,0.00291708
5,374.087,2.19572,2.20113,1.68115,0.43862,0.3983,0.37635,0.15884,2.08113,2.08468,1.65261,0.00154841,0.00154841,0.00154841
