epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,668.11,2.80398,3.49139,2.38221,0.22808,0.23287,0.15202,0.05438,2.98947,3.71993,2.57346,0.00558598,0.00558598,0.00558598
44,682.565,2.80815,3.45379,2.41605,0.23261,0.22726,0.14816,0.04231,3.10282,3.53644,2.65759,0.00555177,0.00555177,0.00555177
45,697.095,2.8143,3.45571,2.41334,0.24973,0.25557,0.20381,0.06452,2.96982,3.44472,2.50749,0.00551755,0.00551755,0.00551755
46,711.599,2.8025,3.46856,2.40899,0.19248,0.22178,0.17356,0.04917,3.05608,3.47262,2.60007,0.00548333,0.00548333,0.00548333
47,726.045,2.76228,3.42747,2.35501,0.21262,0.21509,0.15094,0.04371,3.13,3.47736,2.71597,0.00544912,0.00544912,0.00544912
48,740.478,2.8243,3.51043,2.41187,0.48957,0.20185,0.14256,0.0433,3.06113,4.09809,2.65974,0.0054149,0.0054149,0.0054149
49,754.947,2.80651,3.4986,2.4305,0.60581,0.18925,0.17439,0.0495,3.02757,3.463,2.64192,0.00538068,0.00538068,0.00538068
50,769.615,2.76961,3.46398,2.40328,0.22647,0.26245,0.16362,0.04986,3.03468,3.55892,2.64802,0.00534647,0.00534647,0.00534647
51,783.91,2.77043,3.38659,2.38033,0.02652,0.00556,0.00153,0.00067,nan,nan,nan,0.00531225,0.00531225,0.00531225
52,798.356,2.81392,3.41026,2.4103,0.24414,0.26229,0.17221,0.04657,3.25714,3.71033,2.81204,0.00527803,0.00527803,0.00527803
53,812.73,2.77575,3.40105,2.39195,0.22189,0.21347,0.1406,0.04434,3.16946,5.45863,2.70908,0.00524382,0.00524382,0.00524382
54,827.207,2.76119,3.39687,2.37143,0.52058,0.14756,0.14482,0.04247,3.07665,3.74479,2.66508,0.0052096,0.0052096,0.0052096
55,841.616,2.77259,3.3604,2.38243,0.22432,0.23862,0.15995,0.05338,3.03911,3.91441,2.61558,0.00517538,0.00517538,0.00517538
56,855.982,2.79935,3.47729,2.39845,0.31561,0.19107,0.14848,0.04522,3.14228,3.64514,2.73028,0.00514117,0.00514117,0.00514117
57,870.392,2.78628,3.40585,2.39823,0.21223,0.23081,0.15785,0.05339,2.97387,3.58143,2.52786,0.00510695,0.00510695,0.00510695
58,884.81,2.73729,3.87894,2.37254,0.28791,0.22547,0.16388,0.04989,3.12206,3.62416,2.70902,0.00507273,0.00507273,0.00507273
59,899.207,2.78748,3.36213,2.37036,0.26786,0.22696,0.15785,0.05395,2.95987,3.51936,2.55915,0.00503852,0.00503852,0.00503852
60,913.567,2.72631,3.35665,2.37252,0.18131,0.23704,0.17299,0.04726,3.0708,3.3407,2.67541,0.0050043,0.0050043,0.0050043
61,928.295,2.78997,3.38252,2.38527,0.21232,0.26293,0.16288,0.05573,3.01394,3.66257,2.59752,0.00497008,0.00497008,0.00497008
62,943.058,2.75093,3.35347,2.36927,0.27804,0.27096,0.19607,0.06223,2.93715,3.34493,2.56195,0.00493587,0.00493587,0.00493587
63,957.557,2.74068,3.36475,2.38237,0.13097,0.09734,0.04428,0.01712,nan,nan,nan,0.00490165,0.00490165,0.00490165
64,971.877,2.75722,3.31669,2.37907,0.02145,0.00556,0.00199,0.00059,nan,nan,nan,0.00486743,0.00486743,0.00486743
65,986.267,2.73464,3.34135,2.34764,0.51491,0.17306,0.14756,0.04893,2.98199,3.6228,2.54571,0.00483322,0.00483322,0.00483322
