epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4584,2.50287,3.79669,1.91463,0.2369,0.24736,0.1534,0.05634,2.46315,4.06035,2.01703,0.0694489,0.00251765,0.00251765
2,113.318,2.60844,3.10464,2.01798,0.00158,0.02103,0.0008,0.00023,nan,nan,nan,0.0386063,0.00500841,0.00500841
3,168.232,2.8012,3.31208,2.12366,0.3606,0.0476,0.00976,0.00356,3.29137,3.80341,2.54598,0.00771651,0.00745196,0.00745196
4,222.689,2.76615,3.15134,2.10417,0.24088,0.21487,0.15617,0.06264,2.56826,2.98101,2.17414,0.00740091,0.00740091,0.00740091
5,277.011,2.63615,2.92018,2.03286,0.21822,0.07123,0.06588,0.02311,nan,nan,nan,0.00733009,0.00733009,0.00733009
6,330.641,2.63727,2.92789,2.06999,0.20801,0.14188,0.11665,0.04774,2.64327,3.25064,2.14863,0.00725927,0.00725927,0.00725927
7,385.325,2.58488,2.76951,1.99428,0.24995,0.17446,0.17444,0.07056,2.45777,3.49133,2.06484,0.00718846,0.00718846,0.00718846
8,440.059,2.54539,2.73535,1.99192,0.31363,0.193,0.16574,0.06643,2.42556,2.92965,1.9997,0.00711764,0.00711764,0.00711764
9,493.752,2.50478,2.67322,1.94332,0.29624,0.26488,0.2286,0.09008,2.43974,2.49457,1.89859,0.00704682,0.00704682,0.00704682
10,547.423,2.50459,2.68107,1.95981,0.00834,0.0851,0.00629,0.003,nan,nan,nan,0.006976,0.006976,0.006976
11,601.702,2.48033,2.66646,1.94584,0.25621,0.25471,0.21137,0.08696,2.38433,2.63278,1.88078,0.00690519,0.00690519,0.00690519
12,655.856,2.48208,2.64487,1.95756,0.28441,0.2499,0.21733,0.08293,2.49241,2.50429,2.02245,0.00683437,0.00683437,0.00683437
13,709.748,2.45421,2.60552,1.92371,0.28757,0.23639,0.20933,0.09039,2.34751,2.61481,1.94787,0.00676355,0.00676355,0.00676355
