epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.334,2.30968,3.17848,1.78255,0.02483,0.64349,0.03162,0.01246,3.20827,5.32457,2.67918,0.000497984,0.000497984,0.0672991
2,220.027,2.26439,2.62067,1.81736,0.94247,0.33333,0.35968,0.07537,2.83358,5.1134,2.83027,0.000988104,0.000988104,0.0344558
3,318.893,2.22324,2.56274,1.77766,0.06602,0.38324,0.07436,0.02516,3.13994,4.92743,2.88154,0.00146832,0.00146832,0.00160273
4,417.444,2.20691,2.54065,1.765,0.01104,0.30036,0.03387,0.00891,3.09192,5.10437,2.81109,0.00145545,0.00145545,0.00145545
5,516.863,2.16029,2.43976,1.74527,0.61274,0.36364,0.38382,0.06457,2.99581,4.73755,2.83666,0.0014406,0.0014406,0.0014406
6,616.048,2.13236,2.38564,1.70689,0.03954,0.11854,0.03141,0.01023,2.91918,4.92584,2.69762,0.00142575,0.00142575,0.00142575
7,716.926,2.11238,2.36118,1.71103,0.105,0.42335,0.08985,0.03775,2.72066,4.23251,2.75533,0.0014109,0.0014109,0.0014109
8,817.553,2.08648,2.29735,1.6767,0.08639,0.52496,0.2191,0.0432,2.77556,4.18971,2.63921,0.00139605,0.00139605,0.00139605
9,917.733,2.05174,2.27328,1.67782,0.82397,0.33333,0.40734,0.14331,2.65485,3.48777,2.61701,0.0013812,0.0013812,0.0013812
10,1021.54,2.03287,2.19258,1.6403,0.09,0.08824,0.10203,0.0342,2.66069,3.39433,2.56675,0.00136635,0.00136635,0.00136635
11,1125.06,2.01906,2.17649,1.64369,0.30654,0.38235,0.39776,0.11989,2.74494,3.60213,2.54388,0.0013515,0.0013515,0.0013515
12,1226.07,2.01387,2.17161,1.64463,0.81902,0.33333,0.24037,0.04635,2.76395,3.74207,2.6669,0.00133665,0.00133665,0.00133665
13,1329.36,1.9692,2.11523,1.61883,0.54327,0.53387,0.48112,0.23309,2.597,3.69245,2.61343,0.0013218,0.0013218,0.0013218
14,1430.47,1.97969,2.11687,1.63071,0.235,0.39305,0.42988,0.12603,2.67878,3.7413,2.57533,0.00130695,0.00130695,0.00130695
15,1533.14,1.97059,2.08586,1.62071,0.76695,0.36364,0.41978,0.06621,2.68668,3.19046,2.58186,0.0012921,0.0012921,0.0012921
16,1634.21,1.91886,2.02969,1.59029,0.98408,0.33333,0.41299,0.22646,2.86741,3.50401,2.57067,0.00127725,0.00127725,0.00127725
17,1737.12,1.94475,2.04919,1.60224,0.31549,0.42113,0.43285,0.18072,2.72914,3.14364,2.54129,0.0012624,0.0012624,0.0012624
18,1839.55,1.92826,1.99119,1.59002,0.83007,0.34314,0.43669,0.23181,2.62726,3.36311,2.58033,0.00124755,0.00124755,0.00124755
19,1940.98,1.90994,1.97768,1.57147,0.50418,0.49287,0.3742,0.11104,2.61108,3.18255,2.44728,0.0012327,0.0012327,0.0012327
20,2041.24,1.898,1.97677,1.58593,0.78435,0.35156,0.45052,0.17232,2.61458,3.31181,2.54038,0.00121785,0.00121785,0.00121785
21,2143.2,1.90675,1.95256,1.58731,0.37022,0.44918,0.50732,0.16246,2.61914,3.49183,2.49701,0.001203,0.001203,0.001203
22,2244.92,1.87893,1.95549,1.58045,0.40995,0.34938,0.48225,0.20051,2.63051,3.80822,2.60982,0.00118815,0.00118815,0.00118815
23,2347.24,1.88385,1.92059,1.57256,0.29199,0.47986,0.50339,0.25954,2.72145,2.87775,2.66931,0.0011733,0.0011733,0.0011733
24,2449.83,1.85828,1.89422,1.55168,0.17067,0.40781,0.39715,0.18786,2.5642,3.26299,2.45638,0.00115845,0.00115845,0.00115845
25,2550.93,1.86966,1.89571,1.55505,0.97719,0.33333,0.42714,0.18449,2.66884,3.24517,2.50669,0.0011436,0.0011436,0.0011436
26,2652.73,1.83531,1.84998,1.53909,0.84494,0.35723,0.50038,0.21939,2.63254,2.98021,2.507,0.00112875,0.00112875,0.00112875
27,2753.85,1.83732,1.85882,1.55666,0.42071,0.53209,0.55139,0.29179,2.55862,2.9491,2.32695,0.0011139,0.0011139,0.0011139
28,2856.24,1.83371,1.81968,1.53705,0.83415,0.36097,0.45557,0.24105,2.6251,3.08815,2.40761,0.00109905,0.00109905,0.00109905
29,2956.13,1.80374,1.8167,1.52622,0.2421,0.61704,0.50584,0.13882,2.6173,3.07238,2.44556,0.0010842,0.0010842,0.0010842
30,3057.26,1.81523,1.83084,1.52705,0.27279,0.51248,0.47879,0.23554,2.62905,3.30528,2.54471,0.00106935,0.00106935,0.00106935
